epoch,train_loss,train_acc,val_loss,val_acc
1,0.7287734986721784,0.4521072796934866,0.6963542793926439,0.5263157894736842
2,0.6648007464591571,0.5977011494252873,0.6501294437207674,0.7368421052631579
3,0.6361269601460161,0.6973180076628352,0.6081318008272272,0.763157894736842
4,0.6156244337330377,0.735632183908046,0.5676324022443671,0.8157894736842105
5,0.5863428757565231,0.789272030651341,0.54847441535247,0.8157894736842105
6,0.5691208494577371,0.8275862068965517,0.5262235779511301,0.7894736842105263
7,0.547613725465833,0.8390804597701149,0.5159699979581331,0.894736842105263
8,0.5266789946976292,0.8812260536398467,0.4999228935492666,0.9210526315789473
9,0.5108033304470252,0.9272030651340996,0.5094536982084575,0.9210526315789473
10,0.5313337315088031,0.8659003831417624,0.4983591217743723,0.9473684210526315
11,0.5231561169770486,0.8888888888888888,0.5073886137259634,0.8421052631578947
12,0.530973298796292,0.8582375478927202,0.5002075088651556,0.894736842105263
13,0.5379678326091547,0.8697318007662834,0.5037361446179842,0.8684210526315789
14,0.5385691573793404,0.8544061302681992,0.4761426291967693,0.9473684210526315
15,0.5128751769376441,0.9233716475095785,0.4712048894480655,0.9473684210526315
16,0.492169411817273,0.89272030651341,0.450069060451106,0.9210526315789473
17,0.46961835277948344,0.950191570881226,0.4219177114336114,0.9473684210526315
18,0.44240624831554076,0.946360153256705,0.39946569580780833,0.9736842105263157
19,0.4320155315928989,0.9310344827586207,0.38659785923204926,0.9473684210526315
20,0.39868500337746865,0.9731800766283525,0.3473568495951201,0.9736842105263157
21,0.38422212883887163,0.9540229885057471,0.326142922828072,1.0
22,0.3546937291877937,0.9616858237547892,0.2981604714142649,1.0
23,0.3542861368692698,0.950191570881226,0.3023284689376229,1.0
24,0.32926979501128656,0.9693486590038314,0.26820381691581324,1.0
25,0.3538471237681378,0.9386973180076628,0.28588208242466573,1.0
26,0.3171798172353328,0.9578544061302682,0.27997916466311407,1.0
27,0.3250000294140929,0.9655172413793103,0.2876363647611518,1.0
28,0.3080718204436174,0.9693486590038314,0.2619377406019914,1.0
29,0.3041888052362135,0.9693486590038314,0.2740608641975804,1.0
30,0.28388988189541975,0.9808429118773946,0.26555048635131434,1.0
31,0.29312850837506554,0.9693486590038314,0.26487934746240316,1.0
32,0.2990723071883921,0.9770114942528735,0.2721619511905469,1.0
33,0.3276149096160099,0.946360153256705,0.28552450945502833,1.0
34,0.2807740895684195,0.9923371647509578,0.2647672138716045,1.0
35,0.2878771127412146,0.9731800766283525,0.25085932643789993,1.0
36,0.3164601520103513,0.9616858237547892,0.2913125078929098,1.0
37,0.2868609965075935,0.9808429118773946,0.24869050477680407,1.0
38,0.2911263409702257,0.9655172413793103,0.25743448106866135,1.0
39,0.2902578995259786,0.9693486590038314,0.2590849164285158,1.0
40,0.2758250195404579,0.9770114942528735,0.21645014301726692,1.0
41,0.27169149497459677,0.9616858237547892,0.2467270917014072,1.0
42,0.26976378387646655,0.9846743295019157,0.24306890839024595,1.0
43,0.2606084776107379,0.9770114942528735,0.2262671997672633,1.0
44,0.2640447926018887,0.9655172413793103,0.2128339205917559,1.0
45,0.23776257940179088,1.0,0.21925241068789833,1.0
46,0.2737964017181104,0.9693486590038314,0.2213609555834218,1.0
47,0.2552328085762331,0.9693486590038314,0.21652462607935855,1.0
48,0.26424563855960453,0.9731800766283525,0.2454762317632374,1.0
49,0.23674020684998612,1.0,0.23746055050900108,1.0
50,0.26038796897135474,0.9885057471264367,0.23159272733487582,1.0
51,0.2670521029338983,0.9655172413793103,0.22710188909580833,1.0
52,0.2540868759383644,0.9961685823754789,0.24806489599378487,1.0
53,0.26609864591181964,0.9693486590038314,0.23629608279780337,1.0
54,0.27226430383221856,0.9693486590038314,0.22718552852931775,1.0
